P0,A0,B0,k_A,k_B,K,n,t_activation,t_cross,t50,t90,delta_t_50_90,t90_primary_limit,t90_excess_delay,max_secondary_fraction,secondary_fraction_at_t50,secondary_fraction_at_t90,secondary_reservoir_converted,integrated_secondary_fraction,B50_fraction_remaining,B90_fraction_remaining,final_P,final_A,final_B,max_conservation_error
0.01,0.39,0.6,0.15,0.6,0.5,1,4.1570785392696346,0.9304652326163082,4.202101050525263,11.04552276138069,6.843421710855427,9.14017925992735,1.9053435014533395,0.7360874496999307,0.7347964463156867,0.4573463080683464,0.9999777328787489,0.6087192462445777,0.47633144073009626,0.04061591976444187,0.9956541310773356,0.004332508649914739,1.3360272750681623e-05,1.3322676295501878e-15
0.01,0.39,0.6,0.15,0.6,0.5,2,5.702851425712857,2.7613806903451725,5.732866433216609,11.555777888944473,5.822911455727864,9.14017925992735,2.415598629017122,0.8047492897714653,0.8014738557264939,0.5706086474166591,0.9999921163369757,0.6087226721447527,0.549526442409589,0.04990063791133163,0.995662761152271,0.004332508649914729,4.730197814598223e-06,8.881784197001252e-16
0.01,0.39,0.6,0.15,0.6,0.5,4,8.404202101050526,5.6578289144572285,8.449224612306153,12.951475737868934,4.502251125562781,9.14017925992735,3.8112964779415837,0.8912951730770443,0.8776188754725418,0.7377268379046547,0.9999949701254511,0.6087233518625019,0.6389990008949247,0.07171642778721068,0.995664473425356,0.004332508649914678,3.0179247293655178e-06,1.1102230246251565e-15
0.01,0.39,0.6,0.15,1.0,0.05,1,0.16508254127063532,0.0,1.5307653826913457,9.154577288644322,7.6238119059529765,9.14017925992735,0.014398028716971822,0.8682880263870322,0.7817538707715177,0.008987813836441145,0.9999999999994182,0.6087245498763822,0.30496668505788344,0.0002364102146107177,0.995667491349736,0.004332508649914949,3.4907536402680175e-13,6.661338147750939e-16
0.01,0.39,0.6,0.15,1.0,0.05,2,0.2251125562781391,0.0750375187593797,1.455727863931966,9.154577288644322,7.698849424712357,9.14017925992735,0.014398028716971822,0.8886674080648161,0.7924666475542057,0.00568050254685775,0.9999999999998677,0.6087245498764893,0.302203247496047,0.000141524967698092,0.9956674913500055,0.004332508649914956,7.942991573513891e-14,1.3322676295501878e-15
0.01,0.39,0.6,0.15,1.0,0.05,4,0.3751875937968985,0.25512756378189094,1.5457728864432216,9.154577288644322,7.608804402201101,9.14017925992735,0.014398028716971822,0.902819180866139,0.7972692407217509,0.006072240577076494,0.9999999999998664,0.608724549876489,0.3041113019457222,0.00015088133620026436,0.9956674913500062,0.0043325086499150095,8.013074011999516e-14,1.5543122344752192e-15
0.01,0.39,0.6,0.15,1.0,0.1,1,0.40520260130065033,0.015007503751875938,1.7558779389694847,9.169584792396199,7.413706853426714,9.14017925992735,0.02940553246884825,0.8500085962423566,0.783748287742287,0.01642979422439873,0.9999999999971176,0.6087245498758344,0.3252988874367679,0.00045728597580713636,0.9956674913483552,0.0043325086499149705,1.7294177725505749e-12,6.661338147750939e-16
0.01,0.39,0.6,0.15,1.0,0.1,2,0.6153076538269134,0.28514257128564285,1.7858929464732367,9.154577288644322,7.368684342171086,9.14017925992735,0.014398028716971822,0.8771035789381701,0.8075241955681384,0.009180973267200973,0.9999999999997449,0.60872454987646,0.3251214404880192,0.00023165829161854416,0.9956674913499312,0.004332508649914866,1.5314765506397484e-13,1.4432899320127035e-15
0.01,0.39,0.6,0.15,1.0,0.1,4,0.9304652326163082,0.6903451725862931,1.9959979989994998,9.154577288644322,7.158579289644822,9.14017925992735,0.014398028716971822,0.9002669344840669,0.8236023803487047,0.010557688944069405,0.9999999999997663,0.6087245498764652,0.33795025736490425,0.0002635612258611298,0.9956674913499453,0.004332508649915022,1.4026311897601353e-13,8.881784197001252e-16
0.01,0.39,0.6,0.15,1.0,0.2,1,0.9454727363681841,0.12006003001500751,2.161080540270135,9.19959979989995,7.038519259629815,9.14017925992735,0.05942053997259933,0.8256147559902178,0.7822496955208543,0.04201846998033029,0.9999999999573016,0.6087245498663509,0.3534112014550224,0.0013147466743283686,0.9956674913244634,0.004332508649914944,2.5619049097532137e-11,2.6645352591003757e-15
